UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
102094,24, 24,"R",4,"R",4
102094,25, 25,"R",2,"R",2
102094,26, 26,"R",4,"R",4
102094,27, 27,"R",1,"R",1
102094,28, 28,"R",168,"R",166
102094,30, 30,"R",8,"R",8
102094,31, 31,"R",1,"R",1
102094,33, 33,"R",1,"R",1
102094,34, 34,"R",1,"R",1
102094,36, 36,"R",2,"R",2
102094,37, 37,"R",1,"R",0
102094,39, 39,"R",3,"R",3
102094,41, 41,"R",1,"R",1
102094,42, 42,"R",2,"R",2
102094,45, 45,"R",5,"R",5
102094,47, 47,"R",8,"R",8
102094,48, 48,"R",13,"R",13
102094,49, 49,"R",1,"R",1
102094,51, 51,"R",4,"R",4
102094,55, 55,"R",4,"R",4
102094,58,999,"R",1901,"R",1823
102094,90, 90,"R",19,"R",11
102094,99, 99,"R",1920,"R",1834
102234, 1,  1,"R",72,"R",61
102234, 5,  5,"R",2,"R",2
102234, 6,  6,"R",1,"R",1
102234, 8,  8,"R",1,"R",1
102234,12, 12,"R",19,"R",19
102234,13, 13,"R",4,"R",4
102234,17, 17,"R",7,"R",7
102234,18, 18,"R",1,"R",1
102234,21, 21,"R",2,"R",2
102234,22, 22,"R",49,"R",49
102234,25, 25,"R",1,"R",1
102234,28, 28,"R",4,"R",4
102234,29, 29,"R",5,"R",5
102234,32, 32,"R",1,"R",1
102234,36, 36,"R",1,"R",1
102234,37, 37,"R",2,"R",2
102234,39, 39,"R",1,"R",1
102234,45, 45,"R",1,"R",1
102234,47, 47,"R",2,"R",2
102234,48, 48,"R",8,"R",8
102234,53, 53,"R",2,"R",2
102234,55, 55,"R",1,"R",1
102234,58,999,"R",187,"R",176
102234,90, 90,"R",19,"R",10
102234,98, 98,"R",10,"A",
102234,99, 99,"R",216,"R",186
102313, 1,  1,"R",427,"R",224
102313, 8,  8,"R",1,"Z",0
102313,13, 13,"R",1,"Z",0
102313,24, 24,"R",1,"R",1
102313,48, 48,"R",1,"Z",0
